6sense Company Name,6sense Country,6sense Domain,6sense Revenue Range,6sense Employee Range,Industry,Industry (Legacy)
Costco Wholesale Corporation,United States,costco.com,$5B+,"10,000+",Consumer Goods and Services,Retail and Distribution
Paycor,United States,paycor.com,$250M - $500M,"1,000 - 4,999","Software, Business Services",Software and Technology
SAP Concur,United States,concur.com,$1B - $2.5B,"1,000 - 4,999","Information Technology, Internet, Software",Software and Technology
Duck Creek Technologies,United States,duckcreek.com,$100M - $250M,"1,000 - 4,999",Software,Software and Technology
Dallas / Fort Worth International Airport,United States,dfwairport.com,$500M - $1B,"1,000 - 4,999",Transportation & Logistics,Transportation and Logistics
"Rakuten, Inc.",United States,rakuten.com,$5B+,"10,000+","Internet, Consumer Goods and Services, Business Services, Information Technology",Retail and Distribution
"Ingram Industries, Inc.",United States,ingramcontent.com,$1B - $2.5B,"5,000 - 9,999",Media & Entertainment,Retail and Distribution
Lear Corporation,United States,lear.com,$5B+,"10,000+",Automotive,Automotive
Skyline Displays,United States,skyline.com,$25M - $50M,250 - 499,Business Services,Business Services
Precisely,United States,precisely.com,$500M - $1B,"1,000 - 4,999","Software, Business Services, Information Technology",Software and Technology
"Tyson Foods, Inc.",United States,tyson.com,$5B+,"10,000+","Consumer Goods and Services, Agriculture",Food and Beverage
Dollar General Corporation,United States,dollargeneral.com,$5B+,"10,000+",Consumer Goods and Services,Retail and Distribution
Dallas County Community College District,United States,dcccd.edu,$100M - $250M,"1,000 - 4,999",Education,Education
"Digital Realty Trust, Inc.",United States,digitalrealty.com,$2.5B - $5B,"1,000 - 4,999","Financial Services, Real Estate, Rentals, and Leasing, Information Technology",Software and Technology
International Paper Company,United States,internationalpaper.com,$5B+,"10,000+",Industrial Manufacturing,Manufacturing
FASHION INSTITUTE OF TECHNOLOGY,United States,fitnyc.edu,$100M - $250M,"1,000 - 4,999",Education,Education
Intapp,United States,intapp.com,$50M - $100M,500 - 999,Software,Software and Technology
Fiat Chrysler Automobiles,United States,fcagroup.com,$5B+,"10,000+",Automotive,Automotive
Ultimate Software Group,United States,ultimatesoftware.com,$500M - $1B,"5,000 - 9,999","Software, Information Technology, Internet",Software and Technology
InComm,United States,incomm.com,$500M - $1B,"1,000 - 4,999","Financial Services, Software",Financial Services
SpotOn,United States,spoton.com,$250M - $500M,"1,000 - 4,999",Software,Software and Technology
Nextiva,United States,nextiva.com,$250M - $500M,"1,000 - 4,999",Telecommunications,Telecommunications
"United Airlines Holdings, Inc.",United States,united.com,$5B+,"10,000+",Transportation & Logistics,Transportation and Logistics
Dynatrace,United States,dynatrace.com,$500M - $1B,"1,000 - 4,999","Software, Information Technology, Internet",Software and Technology
Flexera,United States,flexera.com,$250M - $500M,"1,000 - 4,999","Software, Information Technology",Software and Technology
Blizzard Entertainment,United States,blizzard.com,$1B - $2.5B,"5,000 - 9,999","Media & Entertainment, Software",Software and Technology
Alamo Colleges,United States,alamo.edu,$250M - $500M,"5,000 - 9,999",Education,Education
"Teledyne Technologies, Inc.",United States,teledyne.com,$2.5B - $5B,"10,000+","Consumer Goods and Services, Industrial Manufacturing, Hardware & Semiconductors",Hardware
Morgan State University,United States,morgan.edu,$100M - $250M,"1,000 - 4,999",Education,Education
Hyatt Hotels Corporation,United States,hyatt.com,$2.5B - $5B,"10,000+","Hospitality, Travel, and Recreation",Hospitality and Travel
Modernizing Medicine,United States,modmed.com,$100M - $250M,"1,000 - 4,999",Software,Software and Technology
SUNY Potsdam,United States,potsdam.edu,$100M - $250M,"10,000+",Education,Education
Bill.com,United States,bill.com,$100M - $250M,"1,000 - 4,999","Internet, Software",Software and Technology
Platinum Equity LLC,United States,platinumequity.com,$5B+,"10,000+",Financial Services,Financial Services
Hood College,United States,hood.edu,$25M - $50M,250 - 499,Education,Education
"Shutterfly, Inc.",United States,shutterfly.com,$1B - $2.5B,"5,000 - 9,999","Media & Entertainment, Consumer Goods and Services, Internet",Software and Technology
Allegion plc,United States,allegion.com,$2.5B - $5B,"10,000+",Business Services,Hardware
Flex Ltd,United States,flex.com,$5B+,"10,000+","Consumer Goods and Services, Hardware & Semiconductors, Industrial Manufacturing, Business Services",Hardware
Interpublic Group,United States,interpublic.com,$5B+,"10,000+",Business Services,Business Services
